n_spots,rank_by_buffer,plan_id,R,P_fail,CI_95,n_fail,Z1,Z2,Z3,Z4,Z4_mean,selected,selected_by_day,buffers,Tks,P_fail_day1,P_fail_day2,P_fail_day3,P_fail_day4,P_fail_day5
7,4,S7_buffer_rank04,0.04139999999999999,0.9586,0.005521917986786837,4793,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A9,A8,A1,A10,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0752,0.0566,0.7966,0.5662,0.4446
7,5,S7_buffer_rank05,0.013000000000000012,0.987,0.003139795203512485,4935,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A9,A8,A10,A1,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0774,0.062,0.7988,0.8584,0.4326
7,6,S7_buffer_rank06,0.023399999999999976,0.9766,0.004190225137245012,4883,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A8,A9,A1,A10,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0784,0.0626,0.8704,0.573,0.4414
7,7,S7_buffer_rank07,0.008600000000000052,0.9914,0.002559438815990732,4957,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A10,A1,A8,A9,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0742,0.065,0.8522,0.8742,0.4412
7,8,S7_buffer_rank08,0.010800000000000032,0.9892,0.0028650024703654312,4946,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A8,A9,A5,A10,A1,A7","4.9000,3.8000,7.3000,3.8000,3.7000","4.6000,8.7000,5.2000,8.7000,4.3000",0.0798,0.8708,0.0644,0.8476,0.441
7,9,S7_buffer_rank09,0.026800000000000046,0.9732,0.004476509560271264,4866,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A1,A10,A8,A9,A5,A7","4.9000,3.8000,3.8000,7.3000,3.7000","4.6000,8.7000,8.7000,5.2000,4.3000",0.0826,0.5622,0.8692,0.0576,0.439
7,10,S7_buffer_rank10,0.03939999999999999,0.9606,0.005392503942029156,4803,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A1,A10,A5,A9,A8,A7","4.9000,3.8000,7.3000,3.8000,3.7000","4.6000,8.7000,5.2000,8.7000,4.3000",0.0824,0.565,0.062,0.8008,0.4428
7,11,S7_buffer_rank11,0.0262,0.9738,0.0044274799174248095,4869,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A1,A10,A5,A8,A9,A7","4.9000,3.8000,7.3000,3.8000,3.7000","4.6000,8.7000,5.2000,8.7000,4.3000",0.0744,0.5632,0.0612,0.8762,0.4456
7,12,S7_buffer_rank12,0.02980000000000005,0.9702,0.004713134530988908,4851,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A8,A9,A5,A1,A10,A7","4.9000,3.8000,7.3000,3.8000,3.7000","4.6000,8.7000,5.2000,8.7000,4.3000",0.0778,0.8606,0.0618,0.5738,0.451
7,13,S7_buffer_rank13,0.014599999999999946,0.9854,0.0033247100488313203,4927,53.00000000000001,6.0,3.9239999999999973,3.6999999999999993,4.7,"A1,A10,A3,A5,A7,A8,A9","A3,A5,A10,A1,A9,A8,A7","4.9000,7.3000,3.8000,3.8000,3.7000","4.6000,5.2000,8.7000,8.7000,4.3000",0.0746,0.0628,0.8546,0.8088,0.4344
